channel,offset_khz,db_rel_median
36,-3.57628,0.675356
36,-3.55244,0.682002
36,-3.52859,0.712857
36,-3.50475,0.708019
36,-3.48091,0.668686
36,-3.45707,0.669087
36,-3.43323,0.691097
36,-3.40939,0.698421
36,-3.38554,0.667073
36,-3.3617,0.671232
36,-3.33786,0.684592
36,-3.31402,0.712424
36,-3.29018,0.709772
36,-3.26633,0.675442
36,-3.24249,0.682776
36,-3.21865,0.711289
36,-3.19481,0.703969
36,-3.17097,0.660471
36,-3.14713,0.684023
36,-3.12328,0.710635
36,-3.09944,0.706919
36,-3.0756,0.651041
36,-3.05176,0.665344
36,-3.02792,0.68132
36,-3.00407,0.67049
36,-2.98023,0.65927
36,-2.95639,0.664043
36,-2.93255,0.671296
36,-2.90871,0.674644
36,-2.88486,0.658949
36,-2.86102,0.659719
36,-2.83718,0.66367
36,-2.81334,0.679744
36,-2.7895,0.659186
36,-2.76566,0.654705
36,-2.74181,0.668494
36,-2.71797,0.684232
36,-2.69413,0.688768
36,-2.67029,0.652091
36,-2.64645,0.66336
36,-2.6226,0.674595
36,-2.59876,0.67117
36,-2.57492,0.652728
36,-2.55108,0.658242
36,-2.52724,0.668294
36,-2.5034,0.662234
36,-2.47955,0.661309
36,-2.45571,0.66396
36,-2.43187,0.663781
36,-2.40803,0.664445
36,-2.38419,0.655853
36,-2.36034,0.661561
36,-2.3365,0.657787
36,-2.31266,0.687302
36,-2.28882,0.676225
36,-2.26498,0.661517
36,-2.24113,0.672375
36,-2.21729,0.686607
36,-2.19345,0.671926
36,-2.16961,0.662244
36,-2.14577,0.681908
36,-2.12193,0.684779
36,-2.09808,0.676112
36,-2.07424,0.665739
36,-2.0504,0.670893
36,-2.02656,0.677309
36,-2.00272,0.663842
36,-1.97887,0.677431
36,-1.95503,0.674252
36,-1.93119,0.685576
36,-1.90735,0.683895
36,-1.88351,0.675286
36,-1.85966,0.669691
36,-1.83582,0.677286
36,-1.81198,0.702245
36,-1.78814,0.679169
36,-1.7643,0.674162
36,-1.74046,0.69922
36,-1.71661,0.715353
36,-1.69277,0.711549
36,-1.66893,0.692734
36,-1.64509,0.698793
36,-1.62125,0.718138
36,-1.5974,0.711775
36,-1.57356,0.738536
36,-1.54972,0.732982
36,-1.52588,0.758831
36,-1.50204,0.762905
36,-1.4782,0.772937
36,-1.45435,0.782468
36,-1.43051,0.845752
36,-1.40667,0.994873
36,-1.38283,0.856794
36,-1.35899,0.905164
36,-1.33514,0.91527
36,-1.3113,0.999977
36,-1.28746,0.923698
36,-1.26362,0.945777
36,-1.23978,1.16925
36,-1.21593,1.1536
36,-1.19209,1.21743
36,-1.16825,0.995201
36,-1.14441,1.22302
36,-1.12057,2.65704
36,-1.09673,1.84372
36,-1.07288,1.60858
36,-1.04904,1.48567
36,-1.0252,3.91624
36,-1.00136,2.80436
36,-0.977516,2.37152
36,-0.953674,1.64342
36,-0.929832,2.75591
36,-0.905991,3.1184
36,-0.882149,2.54765
36,-0.858307,3.48332
36,-0.834465,4.46039
36,-0.810623,3.38575
36,-0.786781,6.82262
36,-0.762939,6.19623
36,-0.739098,7.37268
36,-0.715256,4.47509
36,-0.691414,4.17854
36,-0.667572,3.38064
36,-0.64373,3.75837
36,-0.619888,4.32225
36,-0.596046,7.46243
36,-0.572205,4.022
36,-0.548363,6.61391
36,-0.524521,8.14026
36,-0.500679,6.62183
36,-0.476837,6.3794
36,-0.452995,7.10438
36,-0.429153,8.20981
36,-0.405312,8.05391
36,-0.38147,5.86015
36,-0.357628,4.32035
36,-0.333786,3.75693
36,-0.309944,5.48667
36,-0.286102,4.46743
36,-0.26226,5.13771
36,-0.238419,6.39683
36,-0.214577,8.48091
36,-0.190735,8.34893
36,-0.166893,9.31918
36,-0.143051,8.02177
36,-0.119209,10.7915
36,-0.0953674,8.38076
36,-0.0715256,8.53013
36,-0.0476837,11.0305
36,-0.0238419,12.8154
36,0,16.3603
36,0.0238419,8.4623
36,0.0476837,8.73699
36,0.0715256,13.2656
36,0.0953674,8.72573
36,0.119209,7.87492
36,0.143051,8.55823
36,0.166893,11.7216
36,0.190735,11.2042
36,0.214577,6.62037
36,0.238419,3.94238
36,0.26226,4.85341
36,0.286102,5.70183
36,0.309944,3.80964
36,0.333786,4.57259
36,0.357628,4.35296
36,0.38147,2.90627
36,0.405312,2.54688
36,0.429153,2.46333
36,0.452995,2.11841
