panel,fine_bin,T
b,54,0.672553
b,55,0.47277
b,56,0.597222
b,57,1.13953
b,58,0.727458
b,59,0.730647
b,60,0.758671
b,61,1.37437
b,62,2.58523
b,63,0.914918
b,64,0.486836
b,65,0.747243
b,66,0.829661
b,67,0.571617
b,68,0.582122
b,69,0.899464
b,70,0.799944
b,71,0.907733
b,72,1.30107
b,73,0.980406
b,74,0.741809
b,75,0.677919
b,76,0.485653
b,77,0.568353
b,78,0.886004
b,79,0.999012
b,80,1.08568
b,81,1.51226
b,82,1.45612
b,83,0.529865
b,84,1.12357
b,85,1.60177
b,86,0.948205
b,87,0.555182
b,88,0.653412
b,89,0.504432
b,90,1.04132
b,91,1.21601
b,92,0.740495
b,93,0.687163
b,94,0.78383
b,95,1.07405
b,96,0.866738
b,97,0.777554
b,98,0.713525
b,99,0.707939
b,100,0.710757
b,101,0.628367
b,102,0.610427
b,103,0.441565
b,104,0.857413
b,105,1.04069
b,106,0.986865
b,107,0.554477
b,108,0.487598
b,109,0.861821
b,110,0.707737
b,111,0.769071
b,112,0.795573
b,113,0.544322
b,114,0.941841
b,115,0.822554
b,116,1.07397
b,117,0.635328
b,118,0.770207
b,119,1.72258
b,120,1.14259
b,121,0.795295
b,122,1.41905
b,123,1.27734
b,124,0.763656
b,125,1.07246
b,126,0.742124
b,127,0.584928
b,128,0.483203
b,129,0.582505
b,130,0.322316
b,131,0.473042
b,132,1.05363
b,133,0.984266
b,134,1.25448
b,135,0.694014
b,136,0.504973
b,137,1.88176
b,138,2.61265
b,139,2.54544
b,140,1.23074
b,141,0.606794
b,142,0.72224
b,143,0.863176
b,144,1.01894
b,145,0.465833
b,146,0.309792
b,147,0.505717
b,148,0.861649
b,149,0.91652
b,150,0.656979
b,151,1.29034
b,152,1.56096
b,153,0.715486
b,154,0.461048
b,155,0.648688
b,156,0.587392
b,157,0.509221
b,158,0.515212
b,159,0.507206
b,160,1.37994
b,161,1.22631
b,162,1.02052
b,163,0.713358
b,164,0.959943
b,165,0.347282
b,166,0.453375
b,167,0.858136
b,168,1.04284
b,169,0.601935
b,170,0.711243
b,171,0.613379
b,172,0.686521
b,173,0.675645
b,174,0.66463
b,175,1.32874
b,176,2.03679
b,177,2.28401
b,178,1.58139
b,179,0.641343
b,180,0.83273
b,181,1.66772
b,182,1.33745
b,183,1.22788
b,184,0.889732
b,185,0.674732
b,186,1.28632
b,187,1.15102
b,188,1.104
b,189,1.28958
b,190,0.956203
b,191,0.692208
b,192,1.29625
b,193,0.992775
b,194,0.862259
b,195,1.40092
b,196,1.43212
b,197,0.877696
b,198,0.820211
b,199,0.946594
b,200,0.581069
b,201,0.825849
b,202,0.797945
b,203,0.940476
b,204,1.64431
b,205,0.760454
b,206,0.378491
b,207,0.547315
b,208,0.638387
b,209,0.628523
b,210,0.565449
b,211,2.34351
b,212,2.66864
b,213,0.937788
b,214,1.09942
b,215,1.37747
b,216,1.42146
b,217,1.08454
b,218,0.851979
b,219,0.644778
b,220,0.662709
b,221,0.953891
b,222,0.652034
b,223,0.844557
b,224,0.779559
b,225,0.561324
b,226,0.531615
b,227,0.658596
b,228,0.971441
b,229,0.690979
b,230,0.442351
b,231,0.676076
b,232,1.48607
b,233,1.29855
b,234,1.07871
b,235,0.695354
b,236,0.703229
b,237,0.788519
b,238,0.770518
b,239,1.08984
b,240,1.65199
b,241,3.4826
b,242,1.15866
b,243,0.578546
b,244,0.494761
b,245,1.10044
b,246,0.574381
b,247,0.522337
b,248,0.704536
b,249,0.612613
b,250,1.47757
b,251,1.24463
b,252,0.936591
b,253,0.676415
b,254,0.361416
b,255,0.541228
