requested_snr_shelf_db,frequency_offset_hz,channel_gain_db,channel_phase_deg,requested_composite_atsc_snr_db,measured_truth_snr_shelf_db_mean,measured_truth_composite_atsc_snr_db_mean,fstat_raw_mean,fstat_level_db_mean,pnr_bin_db_mean,estimated_snr_shelf_db_mean,estimated_snr_shelf_db_std,snr_error_db_mean,snr_error_db_std,cpu_float_fstat_raw_mean,cpu_float_estimated_snr_shelf_db_mean,cpu_float_estimated_snr_shelf_db_std,cpu_float_snr_error_db_mean,cpu_float_snr_error_db_std,cpu_float_gpu_snr_diff_db_mean,trials,positive_excess_detection_rate,positive_excess_detection_rate_wilson95_lo,positive_excess_detection_rate_wilson95_hi,threshold_detection_rate,threshold_detection_rate_wilson95_lo,threshold_detection_rate_wilson95_hi,num_feeds,num_input_streams,cpu_gpu_abs_diff_max
-24.0,-1000.0,0.0,0.0,-23.689427395061156,-24.000083887717775,-23.689511282778934,1.3677674106104005,1.3540904338850153,-4.431366011733149,-26.06737786516676,0.884209067251136,-2.0672939774489825,0.8839991415949464,1.3708493121018044,-26.029982229680165,0.878545479832792,-2.029898341962388,0.8783182564413076,0.03739563548659487,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,4,4,0.0
-24.0,0.0,0.0,0.0,-23.689427395061156,-24.000083889028037,-23.68951128408919,1.547303627390318,1.8904430475425218,-2.6612827939081893,-24.2972946473418,0.621329676541389,-0.2972107583137661,0.6212944393890887,1.5519282328525006,-24.260439921011734,0.6191218246848049,-0.2603560319836981,0.6190505215409404,0.03685472633006795,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,4,4,0.0
-24.0,1000.0,0.0,0.0,-23.689427395061156,-24.000083887354464,-23.689511282415616,1.3722892372333846,1.3679793485126965,-4.382613737376341,-26.018625590809954,0.9040378956224229,-2.0185417034554924,0.9039463169024128,1.3731885402575306,-26.007506942603744,0.9014118162808747,-2.0074230552492858,0.901310025705151,0.011118648206206404,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,4,4,2.220446049250313e-16
-25.0,-1000.0,0.0,0.0,-24.689427395061156,-25.000083891083538,-24.689511286144693,1.2934742050825885,1.111478198011939,-5.45118666067531,-27.087198514108923,1.0779078632590429,-2.087114623025386,1.077693590960876,1.2953466770527868,-27.05878361148108,1.0749177204341487,-2.0586997203975397,1.074699555289325,0.028414902627846062,1000,1.0,0.996173241514445,1.0,0.999,0.9943574414020421,0.9998234536293739,4,4,0.0
-25.0,0.0,0.0,0.0,-24.689427395061156,-25.00008388980982,-24.68951128487097,1.4354744386744418,1.5644796233580638,-3.6720976557167635,-25.308109509150373,0.742511261637995,-0.3080256193405585,0.7424664930935628,1.4387476887104538,-25.275209150667653,0.7405315291486357,-0.27512526085783545,0.7404600993073029,0.03290035848272303,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,4,4,0.0
-25.0,1000.0,0.0,0.0,-24.689427395061156,-25.00008389142929,-24.689511286490447,1.297179456750037,1.1234112312584794,-5.4033209353237766,-27.039332788757388,1.1022599037431438,-2.0392488973280978,1.1021759174850592,1.297375601993118,-27.035221292427696,1.0981667173609044,-2.035137400998404,1.098065323821022,0.004111496329693722,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,4,4,0.0
-26.0,-1000.0,0.0,0.0,-25.689427395061156,-26.000083891605193,-25.689511286666356,1.2340661236320314,0.9071733874951906,-6.500093885767657,-28.136105739201266,1.3568151191825073,-2.1360218475960737,1.3566181906893036,1.2350448529728306,-28.11653332974553,1.3541162762636294,-2.1164494381403327,1.353906827601102,0.019572409455740663,1000,1.0,0.996173241514445,1.0,0.989,0.9804106042992137,0.9938468259019134,4,4,0.0
-26.0,0.0,0.0,0.0,-25.689427395061156,-26.000083894361733,-25.68951128942289,1.346648769993731,1.2869087900111122,-4.690927736118968,-26.326939589552577,0.901621819802253,-0.32685569519084734,0.9015677313794513,1.3486888208612795,-26.300760286324937,0.8989145654960425,-0.30067639196320567,0.8988427900100661,0.026179303227641615,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,4,4,2.220446049250313e-16
-26.0,1000.0,0.0,0.0,-25.689427395061156,-26.000083890500456,-25.68951128556161,1.2371163233593088,0.9174609774794558,-6.4512210089867095,-28.087232862420322,1.3749747206584573,-2.087148971919868,1.3748984457900235,1.2368092266173838,-28.09133804614887,1.3717998097107509,-2.091254155648415,1.3716989158747879,-0.004105183728546677,1000,1.0,0.996173241514445,1.0,0.987,0.9778855576244203,0.9923871796106489,4,4,0.0
-27.0,-1000.0,0.0,0.0,-26.689427395061156,-27.000083884887665,-26.68951127994882,1.1865562165462338,0.7366151606824262,-7.618015654699462,-29.254027508133078,1.9422990431466607,-2.2539436232454104,1.942104791337443,1.1869377836301542,-29.20035823173799,1.696720878157471,-2.2002781300773653,1.6965366836767193,0.012462343077325801,1000,0.999,0.9943574414020421,0.9998234536293739,0.931,0.9135852797713628,0.9451160544140889,4,4,0.0
-27.0,0.0,0.0,0.0,-26.689427395061156,-27.00008388496056,-26.689511280021716,1.2757647793879063,1.0519860776612693,-5.728085123918032,-27.36409697735164,1.1123900860123024,-0.36401309239108565,1.112332126758822,1.2770530184083777,-27.343632548868914,1.1126034200443211,-0.343548663908357,1.112531579536152,0.020464428482728687,1000,1.0,0.996173241514445,1.0,0.998,0.9927371921365079,0.9994513564118793,4,4,0.0
-27.0,1000.0,0.0,0.0,-26.689427395061156,-27.00008388576373,-26.68951128082488,1.1891106602441806,0.7455588692990311,-7.55252648437656,-29.188538337810172,1.8050440112761705,-2.188454452046446,1.8049832461676394,1.188475736946713,-29.20488206577455,1.8294951598608842,-2.204798180010829,1.829390604361858,-0.01634372796438369,1000,1.0,0.996173241514445,1.0,0.935,0.9179944906866292,0.948676229430938,4,4,2.220446049250313e-16
-28.0,-1000.0,0.0,0.0,-27.689427395061156,-28.000083890953274,-27.68951128601443,1.1487757672030092,0.5960727422385684,-8.669590034717672,-30.305601888151283,2.108312802230562,-2.305527492275936,2.1081678776609523,1.1485939774710856,-30.354242142556636,2.2806723834353506,-2.354168707050313,2.2805383094107667,-0.01679415141854263,1000,0.992,0.9842936654690199,0.995940804181194,0.822,0.7970731778115323,0.8444623897237702,4,4,2.220446049250313e-16
-28.0,0.0,0.0,0.0,-27.689427395061156,-28.00008389083753,-27.689511285898686,1.2194901808158134,0.8559872118221572,-6.791494300780832,-28.42750615421444,1.411190177612036,-0.4274222633769133,1.4111329243717894,1.2200872580061681,-28.41770524544784,1.4233618278425886,-0.4176213546103063,1.4232915615516695,0.009800908766607065,1000,1.0,0.996173241514445,1.0,0.979,0.9681097049387625,0.9862242604320758,4,4,0.0
-28.0,1000.0,0.0,0.0,-27.689427395061156,-28.000083890026296,-27.689511285087452,1.150814201735481,0.603407936698626,-8.710418552280917,-30.34643040571453,2.4303535794245423,-2.3463477247653404,2.4303102295821306,1.1499374533350273,-30.37756837004647,2.4769391748717635,-2.3774837021011423,2.4768481721290616,-0.02419839945439772,1000,0.996,0.9897604437227377,0.9984434118595916,0.826,0.8012673037329014,0.8482376497345165,4,4,0.0
-29.0,-1000.0,0.0,0.0,-28.689427395061156,-29.000083888444323,-28.689511283505475,1.1187216362365946,0.4809297137065097,-9.836352609342551,-31.47236446277617,2.7959950939090623,-2.4722980450300645,2.7958907401654476,1.1180540786985302,-31.52721675851287,2.9490204954316854,-2.527149861022675,2.9489030485093717,-0.04756731514210095,1000,0.98,0.9693099947702822,0.987016317083585,0.656,0.6260105435553518,0.684795507797155,4,4,0.0
-29.0,0.0,0.0,0.0,-28.689427395061156,-29.000083887615208,-28.689511282676364,1.1747412217848618,0.6935578778074921,-7.912782981184053,-29.54879483461767,1.9497321541523134,-0.5487105390588717,1.9496835124274623,1.174797220604334,-29.555083501889513,1.9891083651274477,-0.5549992063307193,1.9890502135001795,-0.006288667271847509,1000,0.998,0.9927371921365079,0.9994513564118793,0.909,0.88957441593046,0.9252952956283559,4,4,0.0
